0:0:0:0:0:0:0:1 - - [30/May/2022:17:32:06 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [30/May/2022:17:33:59 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:17:33:59 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:17:34:05 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:17:34:14 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:17:34:48 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [30/May/2022:17:34:55 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:17:35:47 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [30/May/2022:17:37:57 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [30/May/2022:17:39:17 +0900] "GET /Lecture-Web/Jquery/html03.html HTTP/1.1" 200 2004
0:0:0:0:0:0:0:1 - - [30/May/2022:17:50:47 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [30/May/2022:17:51:46 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [30/May/2022:17:51:53 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:17:52:01 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [30/May/2022:17:53:27 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [30/May/2022:17:56:16 +0900] "GET /Lecture-Web/Jquery/html05.html HTTP/1.1" 200 578
